id_x,first_name,second_name,team,position,code,event,is_home,opposition_team,total_points,av_minutes,av_goals_scored,av_assists,av_clean_sheets,av_goals_conceded,av_yellow_cards,av_red_cards,av_saves,av_bonus,av_bps,av_influence,av_creativity,av_threat,av_ict_index,av_value,av_total_points,av(2)_minutes,av(2)_goals_scored,av(2)_assists,av(2)_clean_sheets,av(2)_goals_conceded,av(2)_yellow_cards,av(2)_red_cards,av(2)_saves,av(2)_bonus,av(2)_bps,av(2)_influence,av(2)_creativity,av(2)_threat,av(2)_ict_index,av(2)_value,av(2)_total_points
297,Phil,Jones,MUN,DEF,76359,7.0,1,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
423,Sam,Field,WBA,MID,195864,7.0,0,FUL,0.0,10.166666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.6666666666666665,3.3333333333333335,0.08333333333333333,0.0,0.3333333333333333,49.166666666666664,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,0.0
81,James,Tarkowski,BUR,DEF,17761,7.0,1,CHE,1.0,54.0,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.0,7.6,12.680000000000001,4.28,14.8,3.18,54.4,1.6,90.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,16.5,19.700000000000003,5.450000000000001,22.5,4.75,54.0,4.0
55,Dale,Stephens,BUR,MID,40845,7.0,1,CHE,1.0,31.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,4.4,3.96,1.3199999999999998,4.2,0.96,44.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
556,Rúben Santos,Gato Alves Dias,MCI,DEF,171314,7.0,0,SHU,6.0,90.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,18.333333333333332,18.933333333333334,1.7,3.3333333333333335,2.4,55.0,3.0,90.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,21.0,18.5,2.3,1.0,2.1999999999999997,55.0,3.5
554,Jacob,Ramsey,AVL,MID,232653,7.0,1,SOU,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
540,Bertrand,Traoré,AVL,MID,110504,7.0,1,SOU,1.0,10.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.75,1.45,0.65,11.75,1.4,60.0,1.0,16.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.6999999999999997,0.8999999999999999,9.5,1.1999999999999997,60.0,1.0
514,Ollie,Watkins,AVL,FWD,178301,7.0,1,SOU,7.0,90.0,0.6,0.2,0.6,1.0,0.0,0.0,0.0,0.4,17.4,28.96,18.779999999999998,40.0,8.76,60.0,5.4,90.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,3.5,9.100000000000001,16.4,29.5,5.499999999999998,60.0,2.0
552,Cole,Palmer,MCI,MID,244851,7.0,0,SHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
496,Matthew,Cash,AVL,DEF,199796,7.0,1,SOU,-1.0,87.8,0.0,0.0,0.6,1.0,0.4,0.0,0.0,0.2,20.6,21.76,12.260000000000002,4.0,3.8,50.0,3.8,90.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.5,17.0,18.200000000000003,1.2000000000000046,1.0,2.0499999999999994,50.0,3.5
106,Ross,Barkley,AVL,MID,88894,7.0,1,SOU,2.0,56.2,0.4,0.0,0.2,1.0,0.0,0.0,0.0,0.6,14.4,19.96,13.319999999999999,20.8,5.42,59.4,4.2,90.0,0.5,0.0,0.5,1.5,0.0,0.0,0.0,1.5,22.0,31.000000000000004,31.349999999999998,24.5,8.7,59.5,6.5
52,Douglas Luiz,Soares de Paulo,AVL,MID,230046,7.0,1,SOU,5.0,87.0,0.0,0.0,0.6,1.0,0.4,0.0,0.0,0.0,8.0,11.48,6.94,7.0,2.56,50.0,2.2,90.0,0.0,0.0,0.5,1.5,0.5,0.0,0.0,0.0,9.0,14.7,7.15,4.5,2.65,50.0,2.0
51,Indiana,Vassilev,AVL,FWD,223349,7.0,1,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
50,Keinan,Davis,AVL,FWD,221239,7.0,1,SOU,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8800000000000001,2.58,1.2,0.45999999999999996,44.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
49,Mbwana,Samatta,AVL,FWD,217487,7.0,1,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0
48,Wesley,Moraes,AVL,FWD,213345,7.0,1,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
539,Liam,Delap,MCI,FWD,463034,7.0,0,SHU,0.0,7.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.8,0.04,45.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
47,Frédéric,Guilbert,AVL,DEF,203368,7.0,1,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
82,Phil,Bardsley,BUR,DEF,17997,7.0,1,CHE,0.0,54.0,0.0,0.0,0.0,1.6,0.4,0.0,0.0,0.0,4.8,6.279999999999999,2.58,1.2,1.02,45.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.0,0.0,45.0,0.0
83,Erik,Pieters,BUR,DEF,39487,7.0,1,CHE,0.0,28.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,3.8,1.52,0.4,3.4,0.52,44.6,0.8,45.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,11.0,3.8,0.65,0.0,0.45,44.0,3.0
